"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:4bLSow6ssrHFVPLgf73Vgu","BBaacckk && FFoorrtthh","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","spotify:album:0osUxxOu2bGatUixUD8iuo","UUnnrreeaall","spotify:artist:4KEI2PqhlvbAdqlolRTTrp","Sun Glitters","2020-03-20","https://i.scdn.co/image/ab67616d0000b273827c1a8eb8184be2e03f2c43","1","2","276705","https://p.scdn.co/mp3-preview/8efc407c965f5a4280a4f52bb73bb203e7150c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRIDO1912138","spotify:user:padishahpiper","2020-06-23T16:21:47Z"
"spotify:track:1BqdhRbDE6mGbYiugML9MK","Before","spotify:artist:5juOkIIy18sFw9L30syt1Z","Washed Out","spotify:album:6GUrNxKQG0pUt9umzAPdLv","Within and Without","spotify:artist:5juOkIIy18sFw9L30syt1Z","Washed Out","2011-07-12","https://i.scdn.co/image/ab67616d0000b273078619103544a7f688179c8b","1","6","286413","https://p.scdn.co/mp3-preview/a525df9267daaff576d42de1088d9be1c93baf36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSUB1194506","spotify:user:padishahpiper","2020-07-09T20:15:53Z"
"spotify:track:3CwK0oEtu9bCl0R5nuMzjx","Cyanide Sisters","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","spotify:album:1mh0Y9kHmDJgxVsfsAb6Jt","Cyanide Sisters EP","spotify:artist:2wouN3QXejYa5tKetYdcVX","Com Truise","2011-01-25","https://i.scdn.co/image/ab67616d0000b2736272670126cc20607a7e1e97","1","1","183609","https://p.scdn.co/mp3-preview/b05899e8e10b66d809dce2a12612703b77d12b53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US2J71102801","spotify:user:padishahpiper","2020-07-09T20:16:40Z"
"spotify:track:4H4p1B3GrZHnh71vgPtHQW","Daughter","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:74r6JJ97ipO0CREXP9PMqZ","New Energy","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2017-09-29","https://i.scdn.co/image/ab67616d0000b2733f31769b727102837cb32a63","1","12","295131","https://p.scdn.co/mp3-preview/bd03c70f2e1747a403e2b8bcffa8713a38a53f9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBXNG1746011","spotify:user:padishahpiper","2020-07-09T20:17:02Z"
"spotify:track:7hjJKZwcW0vze3A48dqcCr","L","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","spotify:album:21dbYScNUKn2Y1Vae8lACJ","Awake (Deluxe Version)","spotify:artist:5oOhM2DFWab8XhSdQiITry","Tycho","2016-01-15","https://i.scdn.co/image/ab67616d0000b2734c3668d2c7f24a96c4c7ab0c","1","3","277559","https://p.scdn.co/mp3-preview/5eebb88bbcef5e8395ac29283141f881b52d2695?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US2J71400803","spotify:user:padishahpiper","2020-07-09T20:18:11Z"
"spotify:track:4p0Yp2fnqydGVEgIE2p60X","Fanshawe","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","spotify:album:6bv070I2PgzwGLgYGBxaJW","El Ten Eleven","spotify:artist:0d1j4VJ7gzAJaDslzmjTF0","El Ten Eleven","2005-09-20","https://i.scdn.co/image/ab67616d0000b273ffb0be505d99b703ab6189af","1","7","312000","https://p.scdn.co/mp3-preview/70b8a952fbfc0bbed36e3b4a1b73de3631c3f645?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US37V0517207","spotify:user:padishahpiper","2020-07-09T20:18:37Z"
"spotify:track:17bVoRLAx1ljhHN7vM0rc8","high fives","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","spotify:album:2BKXRpAaq7jZStXo6A10qK","Everything Ecstatic","spotify:artist:7Eu1txygG6nJttLHbZdQOh","Four Tet","2005-06-26","https://i.scdn.co/image/ab67616d0000b273bb56556ad199864c0ffcd282","1","7","308373","https://p.scdn.co/mp3-preview/33ef4250c263a35958a1900a73030e99873f35c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GBCEL0400359","spotify:user:padishahpiper","2020-07-09T20:19:19Z"
"spotify:track:1WOxGNutRwrbik8BA5f2AY","Immunity","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:1rxWlYQcH945S3jpIMYR35","Immunity","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2013-06-03","https://i.scdn.co/image/ab67616d0000b273235e762de339c6076aa824dd","1","8","596773","https://p.scdn.co/mp3-preview/d5a48d7c4df9753fa197359f04942835e929be82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEL1300090","spotify:user:padishahpiper","2020-07-09T20:19:37Z"
"spotify:track:3rCtueI7qBN2kZBZnXuk5K","Linked","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","spotify:album:6Eb3lH04iEMK0YJ8gk01MR","Linked","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2019-07-01","https://i.scdn.co/image/ab67616d0000b2730e598fe2f3560309382942bb","1","1","369461","https://p.scdn.co/mp3-preview/31b9558a3451d43396d54d759770992466f3c288?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBCFB1900100","spotify:user:padishahpiper","2020-07-09T20:20:24Z"
"spotify:track:0BSJ1iQEmGibLCPMHGtdo7","Lost In Thought","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:7wPJ4V3ueggJxvaYscV9Ou","Opalescent","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2001","https://i.scdn.co/image/ab67616d0000b27326bf95c327ae756b74c18a1d","1","5","376733","https://p.scdn.co/mp3-preview/fc2362429ecb8d833db8b636881d3303e9e5c435?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBDDN9900061","spotify:user:padishahpiper","2020-07-09T20:20:38Z"
